"dataset_ID","meantimes","Angelica","Caltha","Caltha.palustris","Carex","Cladium.mariscus","Cyperaceae","Cyperaceae.1","Drosera","Drosera.anglica","Drosera.intermedia","Drosera.rotundifolia","Drosera.rotundifolia.D..anglica","Droseraceae","Equisetum","Eriophorum","Filipendula","Juncaceae","Lentibulariaceae","Lotus","Lotus.pedunculatus","Menyanthes.trifoliata","Micranthes.stellaris","Narthecium.ossifragum","Ophioglossum","Ophioglossum.vulgatum","Oxyria","Oxyria.digyna","Parnassia","Parnassia.palustris","Pedicularis","Pedicularis.palustris","Peucedanum","Pinguicula","Plantago.maritima","Rhynchospora","Rhynchospora.alba","Scheuchzeria","Scheuchzeria.palustris","Schoenus","Selaginella","Selaginella.selaginoides","Silene.dioica","Silene.flos.cuculi","Teucrium","Thelypteris.palustris","Tofieldia","Tofieldia.pusilla","Trollius","Trollius.europaeus","Valeriana","Valeriana.excelsa","Valeriana.officinalis"
"12",6376.137,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",6456.385,NA,NA,NA,NA,"0","7",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",6537.688,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",6635.953,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",6828.158,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",6993.439,NA,NA,NA,NA,"0","6",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7066.8,NA,NA,NA,NA,"0","5",NA,"1",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7129.392,NA,NA,NA,NA,"1","7",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7188.946,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7252.605,NA,NA,NA,NA,"0","3",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7336.806,NA,NA,NA,NA,"0","4",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7431.258,NA,NA,NA,NA,"0","157",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7490.08,NA,NA,NA,NA,"0","160",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7541.192,NA,NA,NA,NA,"0","41",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7599.822,NA,NA,NA,NA,"4","71",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7688.586,NA,NA,NA,NA,"0","21",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7759.81,NA,NA,NA,NA,"2","71",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7810.38,NA,NA,NA,NA,"0","9",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7856.731,NA,NA,NA,NA,"1","23",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7898.493,NA,NA,NA,NA,"0","6",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7938.871,NA,NA,NA,NA,"0","4",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7980.771,NA,NA,NA,NA,"0","6",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8025.067,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8072.125,NA,NA,NA,NA,"0","9",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8125.859,NA,NA,NA,NA,"0","19",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8219.94,NA,NA,NA,NA,"0","12",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8313.93,NA,NA,NA,NA,"7","2",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8382.081,NA,NA,NA,NA,"0","7",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8414.191,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8444.339,NA,NA,NA,NA,"1","3",NA,"0",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8473.566,NA,NA,NA,NA,"0","4",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8503.083,NA,NA,NA,NA,"0","3",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8532.22,NA,NA,NA,NA,"0","3",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8561.665,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8590.963,NA,NA,NA,NA,"1","3",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8622.269,NA,NA,NA,NA,"0","3",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8651.757,NA,NA,NA,NA,"0","3",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8680.532,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8709.642,NA,NA,NA,NA,"0","3",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8738.987,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8766.494,NA,NA,NA,NA,"0","3",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8796.283,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8824.484,NA,NA,NA,NA,"3","0",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8853.283,NA,NA,NA,NA,"0","4",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8881.53,NA,NA,NA,NA,"8","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8909.463,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8938.078,NA,NA,NA,NA,"2","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8967.124,NA,NA,NA,NA,"1","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8997.1,NA,NA,NA,NA,"1","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9025.563,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9053.789,NA,NA,NA,NA,"0","4",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9081.166,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9109.566,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9139.718,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9168.18,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9197.912,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9226.451,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9257.408,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9287.134,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9315.232,NA,NA,NA,NA,"0","13",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9344.431,NA,NA,NA,NA,"0","20",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9374.141,NA,NA,NA,NA,"0","15",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9433.605,NA,NA,NA,NA,"0","18",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9495.527,NA,NA,NA,NA,"0","13",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1487.618,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1635.112,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1780.054,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1926.013,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2072.76,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2226.754,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2391.488,NA,NA,NA,NA,NA,"46",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2586.934,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2933.672,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3273.253,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3584.977,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3890.647,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4193.046,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4516.995,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4949.49,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",5307.997,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",5648.385,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",5984.993,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
